,Title,Author,Description,Pages,Publication year,Publisher,Cover,Category,Subcategory,Price
2138, تاريخ شرقي الجزيرة والخليج العربي, بدرية الهزاني, تمتد منطقة شرق الجزيرة العربية والخليج العربي على مساحة واسعة، تبدا من رأس الخليج قرب حدود بلاد الرافدين وحتى مضيق هرمز، الذي يصل الخليج العربي بخ ليج عمان، كما تشمل الأراضي الداخلية في شرق الجزيرة العربية، وجنوبها الشرقي المعروف بشبه جزيرة غمان، وجزر الخليج العربي. يشرح هذا الكتاب الظروف الجغرافية وتأثيراتها على حضارة المنطقة للفترة (500 قبل الميلاد – 300 ميلادي). عرضليج عمان، كما تشمل الأراضي الداخلية في شرق الجزيرة العربية، وجنوبها الشرقي المعروف بشبه جزيرة غمان، وجزر الخليج العربي. يشرح هذا الكتاب الظروف الجغرافية وتأثيراتها على حضارة المنطقة للفترة (500 قبل الميلاد – 300 ميلادي).,576,2017, الدار العربية للموسوعات, غلاف ورقي,التاريخ والجغرافيا,الحضارات والمدن,150.01
2139, قصة النفط في أبوظبي, حمدان الدرعي, يقع الكتاب في 160 صفحة من القطع المتوسط ويحتوي على ثلاثة فصول، يتناول الفصل الأول النفط والسياسة البريطانية تجاه الإمارات بين عامي 1892 و،1939 وير صد الثاني امتياز النفط في أبوظبي، وتمّ تخصيص الفصل الثالث للنفط وبناء الإمارة الحديثة . ونوّه المؤلف بداية إل عرضصد الثاني امتياز النفط في أبوظبي، وتمّ تخصيص الفصل الثالث للنفط وبناء الإمارة الحديثة . ونوّه المؤلف بداية إل,157,2014, دار كُتّاب للنشر والتوزيع, غلاف ورقي,التاريخ والجغرافيا,الحضارات والمدن,20.4
2141, أوائل الإمارات 2014, غير متوفر," يخلد الكتاب قصص نجاح ملهمة لـ 43 شخصية تم تكريمها، ضمن مبادرة ""أوائل الإمارات"" التي أطلقها صاحب السمو الشيخ محمد بن راشد آل مكتوم في نوفمبر 2014 ب هدف تكريم الأوائل في الإمارات من أصحاب الإنجازات. ويأخذكم الكتاب في رحلة سريعة مع المكرمين للتعرف على حياتهم عرضهدف تكريم الأوائل في الإمارات من أصحاب الإنجازات. ويأخذكم الكتاب في رحلة سريعة مع المكرمين للتعرف على حياتهم",109,2015, دار كُتّاب للنشر والتوزيع, غلاف ورقي,التاريخ والجغرافيا,الحضارات والمدن,51.0
2143, Les Yézidis de Syrie et du Djebel Sindjar, Lescot, None,0,0, مكتبة لبنان ناشرون, Paperback,التاريخ والجغرافيا,الحضارات والمدن,82.51
2152, درة الأوطان, أحمد المازمي," يتألف الكتاب من أربعة فصول، إضافة إلى تقديم من المؤلف تحت عنوان ""رحلتي مع الكتاب""، ومقدمة عامة، وتتضمن الفصول الأربعة تصنيفات الأماكن السياحية وال حيوية في دولة الإمارات، وهي العمران، والأسواق الشعبية والمراكز التجارية، والطبيعة، والتراث، ويتناول فصل ""العم عرضحيوية في دولة الإمارات، وهي العمران، والأسواق الشعبية والمراكز التجارية، والطبيعة، والتراث، ويتناول فصل ""العم",72,2014, دار كُتّاب للنشر والتوزيع, غلاف كرتوني,التاريخ والجغرافيا,الحضارات والمدن,76.51
2153, بلاد ما بين النهرين عبر التاريخ, أحمد محمود, بحث مبسّط وسريع لتاريخ بلاد ما بين النهرين، بهدف تثبيت الفترة الزمنية لكل الإمبراطوريات المحلية والأجنبية والدويلات التي حكمت هذه البلاد منذ نشأته ا في العصور السومرية (الذي يرجع الى الألفية السادسة قبل الميلاد) الى الوقت الحاضر. وذلك من خلال الإستفادة من الأحداث التاريخية ومحاولة تفسير ما يحدث في الوقت الحاضر بشكل علمي ورسم سيناريو لمستقبل هذه البلاد التي تعتبر موطناً لأقدم الحضارات في العالم. عرضا في العصور السومرية (الذي يرجع الى الألفية السادسة قبل الميلاد) الى الوقت الحاضر. وذلك من خلال الإستفادة من الأحداث التاريخية ومحاولة تفسير ما يحدث في الوقت الحاضر بشكل علمي ورسم سيناريو لمستقبل هذه البلاد التي تعتبر موطناً لأقدم الحضارات في العالم.,276,2017, الدار العربية للموسوعات, غلاف ورقي,التاريخ والجغرافيا,الحضارات والمدن,28.13
2154, UAE Pioneers 2014, غير متوفر," ""UAE Pioneers 2014"" book",109,2016, Kuttab for Publishing and Distribution, Paperback,التاريخ والجغرافيا,الحضارات والمدن,51.0
2160, موسوعة الأمثال العربية الفصحى, مصطفى فتحي, None,300,2013, دار أسامة للنشر والتوزيع, غلاف كرتوني,التاريخ والجغرافيا,الحضارات والمدن,56.25
2162, شرفة على التراث العماني, أحلام رضا, عمان بين الأصالة والتحديث وعن التراث العماني والقلاع والحصون والمتاحف والصناعات اليدوية والتقليدية وعن الحالات الاجتماعية وتقاليد الزواج وعادات ال ختان وعن مصارعة الثيران والديوك وعن الأمثال الشعبية وفنون الأعراس وفنون البحر و مواضيع أخرى هي التي توضح سلطن عرضختان وعن مصارعة الثيران والديوك وعن الأمثال الشعبية وفنون الأعراس وفنون البحر و مواضيع أخرى هي التي توضح سلطن,142,2013, مؤسسة البلاغ للطباعة والنشر والتوزيع, غلاف كرتوني,التاريخ والجغرافيا,الحضارات والمدن,45.0
2166, خورفكان في ذاكرة الزمان, محمد النقبي, كتاب جميل جداًُ يحكي تاريخ مدينة خورفكان الجميلة. صاحب الكتاب بذل مجهود كبير لجمع هذا الكم من الإرث التاريخي و هو نتيجة عملية بحث استمرت لسنوات طو يلة. الكاتب بذل مجهود كبير في توثيق المعلومات التاريخية و التدقيق عليها حتى تصلنا الحقيقة قدر الإمكان. عرضيلة. الكاتب بذل مجهود كبير في توثيق المعلومات التاريخية و التدقيق عليها حتى تصلنا الحقيقة قدر الإمكان.,271,2013, دار كُتّاب للنشر والتوزيع, غلاف ورقي,التاريخ والجغرافيا,الحضارات والمدن,35.7
2167, مواقف أهل القصيم من المواجهة بين آل سعود وآل رشيد, محمد السلامة, None,488,2019, جداول للنشر والترجمة والتوزيع, غلاف ورقي,التاريخ والجغرافيا,الحضارات والمدن,93.76
2168, u200eسفر برلكu200e, u200eمحمد الساعدu200e, None,288,2019, دار مدارك للنشر, غلاف ورقي,التاريخ والجغرافيا,الحضارات والمدن,36.98
2169, Luxor Guide de l’Ancienne Thebes, Kamil, None,0,0, مكتبة لبنان ناشرون, Paperback,التاريخ والجغرافيا,الحضارات والمدن,11.25
2174, الحوادث والوقائع في تاريخ كربلاء, عبدالصاحب نصرالله, في هذا الكتاب يستعرض الحوادث والوقائع التي وقعت في تاريخ المدينة الطويل في فترات قبل الاسلام وشهدت منذ عام 12 للهجرة حركات و معارك كانت ضمن النشاط ات الاسلامية الاولى لفتوحات المسلمين الى أن جاءت سنة 61للهجرة حيث شهدت كربلاء أكبر جريمة انسانية في وقعة الطف. عرضات الاسلامية الاولى لفتوحات المسلمين الى أن جاءت سنة 61للهجرة حيث شهدت كربلاء أكبر جريمة انسانية في وقعة الطف.,491,2015, مؤسسة البلاغ للطباعة والنشر والتوزيع, غلاف كرتوني,التاريخ والجغرافيا,الحضارات والمدن,45.0
2176, زايد وتعليم المرأة في أبوظبي, مريم المزروعي, تناول الكتاب الصعوبات التي واجهت الشيخ زايد والجهود التي بذلها من أجل الدفع بالمرأة إلى الأمام، والأخذ بيدها لتثبت مكانتها في المجتمع. فبدأ بالتعل يم، وأتاح لها العديد من الفرص وفتح لها المجال لبذل المزيد من الإبداع والتطوير، كما تم التطرق إلى عرض أهم المؤ عرضيم، وأتاح لها العديد من الفرص وفتح لها المجال لبذل المزيد من الإبداع والتطوير، كما تم التطرق إلى عرض أهم المؤ,150,2014, دار كُتّاب للنشر والتوزيع, غلاف ورقي,التاريخ والجغرافيا,الحضارات والمدن,30.6
2177, الزبير, سعد طاهر, دراسة أنثروبولوجية لإدارة أو مشيخة الزبير، وهي مدينة عراقية عريقة تقع جنوب العراق بالقرب من البصرة، وتسكنها عشائر وقبائل وأُسر وأصول نجدية عربية،  لكن رحل الكثير من هذه الأُسر الى المملكة العربية السعودية والكويت في مطلع الثمانينات. وقد عرضت الدراسة نشأة الزبير، وعوائلها وأمرائها وشيوخها، حيث تناوب على حكم الزبير (21) أميراً أو شيخاً للفترة من سنة (1130-1342هـ/1717-1923م)، كما عرضت قضاتها ومساجدها ومدارسها ومكتباتها، وتوسّعت في عرض عادات أهل الزبير ومناسباتهم الدينية والإجتماعية وأمثالهم الشعبية القديمة مرتّبة على حروف المعجم. عرضلكن رحل الكثير من هذه الأُسر الى المملكة العربية السعودية والكويت في مطلع الثمانينات. وقد عرضت الدراسة نشأة الزبير، وعوائلها وأمرائها وشيوخها، حيث تناوب على حكم الزبير (21) أميراً أو شيخاً للفترة من سنة (1130-1342هـ/1717-1923م)، كما عرضت قضاتها ومساجدها ومدارسها ومكتباتها، وتوسّعت في عرض عادات أهل الزبير ومناسباتهم الدينية والإجتماعية وأمثالهم الشعبية القديمة مرتّبة على حروف المعجم.,400,2017, الدار العربية للموسوعات, غلاف ورقي,التاريخ والجغرافيا,الحضارات والمدن,112.51
2179, الحضارات السامية المبكرة, xa0خزعل الماجدي, يشرح هذا الكتاب، من خلال علم الساميات، تاريخ الشعوب السامية وأصولها الحضارية ومناقشة المشكلة السامية وأصل مصطلح السامية، ثم التعريف باللغات السامي ة وأنواعها وصفاتها والتعريف بالكتابات السامية المختلفة، بخطوط مختلفة سواء كانت مسمارية مقطعية أو أبجدية، ثم نظريات أصل الساميين وحضاراتهم ومناقشتها. ويمضي الكتاب، في نظرة خاصة وجديدة، الى جذور ظهور الساميين في العصر الحجري النحاسي في الالف السادس قبل الميلاد في وادي الرافدين واعلانهم هذا العصر الجديد الذي ظهر فيه الانقلاب الذكوري واستخدام المعادن وظهور المدن والمعابد وهو ما انتقل الى الشعوب المجاورة، فحفز ظهور الشعوب الهندو - أوربية والقوقازية والتركية وجعلهم يدخلون العصر الحجري النحاسي ولتبدأ هجراتهم الواسعة وهو ماقاد الى ظهور الحضارات الكبرى مع بداية العصور التاريخية. ويتابع المؤلف نظريته هذه بالتطبيق ومتابعة جذور نشأة الساميين وتشكيلهم للحضارات المبكرة في وادي الرافدين والشام ثم في المشرق كله. يعتبر هذا الكتاب مغامرة في حقله لانه يخالف الكثير من البديهيات السائدة ويطرح بدائل جديدة لها. ويحاول ان يفتح طريقاً جديداً في الدراسات السامية التي استسلمت لكثير من البديهيات القديمة والتي لم يتم تجاوزها، رغم وفرة حقائق جديدة تدعو لذلك التجاوز، وهو ما حصل في هذا الكتاب. عرضة وأنواعها وصفاتها والتعريف بالكتابات السامية المختلفة، بخطوط مختلفة سواء كانت مسمارية مقطعية أو أبجدية، ثم نظريات أصل الساميين وحضاراتهم ومناقشتها. ويمضي الكتاب، في نظرة خاصة وجديدة، الى جذور ظهور الساميين في العصر الحجري النحاسي في الالف السادس قبل الميلاد في وادي الرافدين واعلانهم هذا العصر الجديد الذي ظهر فيه الانقلاب الذكوري واستخدام المعادن وظهور المدن والمعابد وهو ما انتقل الى الشعوب المجاورة، فحفز ظهور الشعوب الهندو - أوربية والقوقازية والتركية وجعلهم يدخلون العصر الحجري النحاسي ولتبدأ هجراتهم الواسعة وهو ماقاد الى ظهور الحضارات الكبرى مع بداية العصور التاريخية. ويتابع المؤلف نظريته هذه بالتطبيق ومتابعة جذور نشأة الساميين وتشكيلهم للحضارات المبكرة في وادي الرافدين والشام ثم في المشرق كله. يعتبر هذا الكتاب مغامرة في حقله لانه يخالف الكثير من البديهيات السائدة ويطرح بدائل جديدة لها. ويحاول ان يفتح طريقاً جديداً في الدراسات السامية التي استسلمت لكثير من البديهيات القديمة والتي لم يتم تجاوزها، رغم وفرة حقائق جديدة تدعو لذلك التجاوز، وهو ما حصل في هذا الكتاب.,600,2019, دار الرافدين للطباعة والنشر والتوزيع, غلاف ورقي,التاريخ والجغرافيا,الحضارات والمدن,67.5
2186, أطلس تاريخ الدولة العباسية, سامي المغلوث," لقد استطاع العباسيون أن يقيموا دولتهم الممتدة من سنة 132- 656هـ، على رقعة جغرافية كبيرة، تعد إمتدادا لدولة الخلافة الأموية، تفاعلت عليها عناصر متع ددة ""عربية وفارسية وتركية وكردية وأمازيغية وهندية""، وظلت ابطة الدين هي الرابطة الجامعة لهذه العناصر جميعا رغم عرضددة ""عربية وفارسية وتركية وكردية وأمازيغية وهندية""، وظلت ابطة الدين هي الرابطة الجامعة لهذه العناصر جميعا رغم",517,2012, مكتبة العبيكان, غلاف كرتوني,التاريخ والجغرافيا,الدراسات الجغرافية,128.01
2187, الحجاز؛ أرضه وسكانه, عمر الفاروق السيد رجب, None,384,0, دار ومكتبة الهلال، دار الشروق للنشر والتوزيع, غلاف عادي,التاريخ والجغرافيا,الدراسات الجغرافية,48.75
2188, أطلس الخليفة عمر بن الخطاب رضي الله عنه, سامي المغلوث, عمر بن الخطاب رضي الله عنه الذي أعز الله به الإسلام أول من صلى عند الحرم علنا، وهاجر يتناول هذا الكتاب أ. لقب بالفاروق؛ لأنه أظهر الاسلام بمكة، فف رق الله به بين الكفر والايمان. ويتحدث عن تاريخ ابن الخطاب في العهد المكي (الجاهلية والإسلام) والعهد المدني، ث عرضرق الله به بين الكفر والايمان. ويتحدث عن تاريخ ابن الخطاب في العهد المكي (الجاهلية والإسلام) والعهد المدني، ث,350,2008, مكتبة العبيكان, غلاف كرتوني,التاريخ والجغرافيا,الدراسات الجغرافية,91.01
2192, جبل لبنان في القرن السادس عشر - الديمغرافيا والاقتصاد من خلال الدفاتر العثمانية, جان شرف, None,542,0, مركز فينيكس للدراسات اللبنانية, غلاف كرتوني,التاريخ والجغرافيا,الدراسات الجغرافية,112.51
2193, اكتشاف دلمون, مايكل رايس, إن هذا السجل من البحث، في آثار ما قبل الفترة الإسلامية في البحرين، هو المحاولة الأولى من نوعها لجمع سلسلة من التقارير والأعمال التي نشرت بين عامي  1880 و1946، بالإضافة إلى أن مؤلفه مايكل رايس كان مستشاراً معروفاً للشؤون الخليجية على الصعيد الدولي، حيث قدم عرض1880 و1946، بالإضافة إلى أن مؤلفه مايكل رايس كان مستشاراً معروفاً للشؤون الخليجية على الصعيد الدولي، حيث قدم,288,2009, المؤسسة العربية للدراسات والنشر, غلاف ورقي,التاريخ والجغرافيا,الدراسات الجغرافية,37.5
2196, أطلس تاريخ الأنبياء والرسل, سامي المغلوث, للحضارات السالقة بمنأى عن دور الأنبياء والرسل إن معظم الأطالس التاريخية التي تتناول التاريخ القديم تتعرض فى الدعوة إلى الله. وهذا الأطلس يتناول ال تأصيل الإسلامى للكون والإنسان فى ومضات إيمانية سريعة قصد المؤلف من خلال التمهيد لوجود الإنسان على هذه الأرض ك عرضتأصيل الإسلامى للكون والإنسان فى ومضات إيمانية سريعة قصد المؤلف من خلال التمهيد لوجود الإنسان على هذه الأرض ك,370,2017, مكتبة العبيكان, غلاف كرتوني,التاريخ والجغرافيا,الدراسات الجغرافية,78.76
2199, تجمع دول الساحل والصحراء الواقع الجيوسياسي وآفاق التعاون (دراسة في الجغرافية السياسية), مسعود عمر مسعود, None,341,0, المركز العالمي لدراسات وأبحاث الكتاب الأخضر, غلاف عادي,التاريخ والجغرافيا,الدراسات الجغرافية,75.01
2200, دراسات في جغرافية الاستيطان الصهيوني في فلسطين وتهويد القدس, جمعة رجب طنطيش, None,350,0, دار شموع الثقافة, غلاف عادي,التاريخ والجغرافيا,الدراسات الجغرافية,56.25
2206, أطلس الخليفة أبي بكر الصديق رضي الله عنه, سامي المغلوث, يتناول هذا الكتاب حياة ومائر أبي بكر الصديق رضي الله عنه. أول الرجال إسلاما، وأول الخلفاء الراشدين، وأحد العشرة المبشرين بالحنة. صاحب الشمائل الطب ية، والصفات المحمودة، ورفيق رسول الله صلى الله عليه وسلم فى غار حراء وهجرته إلى المدينة المنورة. يتحدث مؤلف ا عرضية، والصفات المحمودة، ورفيق رسول الله صلى الله عليه وسلم فى غار حراء وهجرته إلى المدينة المنورة. يتحدث مؤلف ا,120,2010, مكتبة العبيكان, غلاف كرتوني,التاريخ والجغرافيا,الدراسات الجغرافية,51.0
2208, أطلس الخليفة علي بن أبي طالب رضي الله عنه, سامي المغلوث, يحتل تاريخ الخلفاء الراشدين مكانه مرموقة فى قلب كل مسلم فهذا التاريخ يمثل الصفوة المختارة للرعيل الأول من صحابة رسول الله صلى الله عليه وسلم والتي ارتقت أسمى معارج الإيمان واتسمت بحممود الشيم واكتست بكريم السجايا فجاء تاريخهم يعبق برائحة الصدق والإخلاص وا عرضارتقت أسمى معارج الإيمان واتسمت بحممود الشيم واكتست بكريم السجايا فجاء تاريخهم يعبق برائحة الصدق والإخلاص وا,270,2010, مكتبة العبيكان, غلاف كرتوني,التاريخ والجغرافيا,الدراسات الجغرافية,80.01
2209, أوضح المسالك إلى معرفة البلدان والممالك, محمد بن علي البروسوي, None,731,0, دار الغرب الإسلامي, غلاف فني,التاريخ والجغرافيا,الدراسات الجغرافية,93.76
2210, مدخل إلى علم الجغرافية, طارق صهيون, None,0,0, دار الشمال, غلاف عادي,التاريخ والجغرافيا,الدراسات الجغرافية,11.25
2212, الجغرافية موضوعها ومناهجها وأهدافها, صفوح خير, لا شك في أن حالة التخبط والقلق التي يعيشها الجغرافيون في هذه الأيام، إنما تُعزى إلى افتقار الجغرافية إلى تحديد واضح لطبيعتها وموضوع دراستها. كما أ ن غيابها عن الساحة العملية قد عزّز الدعوى القائلة بعدم قدرتها على المشاركة في عمليات التخطيط والتنمية. وحتى عرضن غيابها عن الساحة العملية قد عزّز الدعوى القائلة بعدم قدرتها على المشاركة في عمليات التخطيط والتنمية. وحتى,528,2000, دار الفكر المعاصر, غلاف ورقي,التاريخ والجغرافيا,الدراسات الجغرافية,41.25
2214, الصحراء, مايكل ويلاند, None,448,2016, جروس برس ناشرون, غلاف كرتوني,التاريخ والجغرافيا,الدراسات الجغرافية,112.51
2215, أساليب البحث والدراسات الميدانية في الجغرافيا, بارنبي لينون, None,214,0, المكتب الوطني للبحث والتطوير, غلاف عادي,التاريخ والجغرافيا,الدراسات الجغرافية,37.5
2216, توجهات تركيا نحو أقطار الخليج العربي, عبد الزهرة شلش العتابي, None,296,0, دار الشؤون الثقافية العامة, غلاف عادي,التاريخ والجغرافيا,الدراسات الجغرافية,56.25
2217, دراسات في جغرافية ليبيا السياحية, سعيد صفي الدين الطيب, None,318,0, المكتب الوطني للبحث والتطوير, غلاف عادي,التاريخ والجغرافيا,الدراسات الجغرافية,56.25
2219, مصطلحات ونصوص جغرافية, الهادي مصطفى أبو لقمة, None,214,0, دار شموع الثقافة, غلاف عادي,التاريخ والجغرافيا,الدراسات الجغرافية,48.75
2220, التحليل في الجغرافيا, أسعد منصور, None,163,0, دار النهضة العربية للطباعة والنشر والتوزيع, غلاف عادي,التاريخ والجغرافيا,الدراسات الجغرافية,37.5
2221, الماء وتقنية مياه الصرف, مارك ج. هامر ، مارك ج. هامر جونيور, تضم هذه السلسلة ترجمة لأحدث الكتب عن التقنيات التي يحتاج إليها الوطن العربي في البحث والتطوير ونقل المعرفة إلى القارئ العربي. يعرض هذا الكتاب  المبادئ الأساسية في مجال معالجة المياه، ويوفّر القاعدة الضرورية من المعلومات المتعلقة بالتقنيات الخاصة بكيفية إدا عرضالمبادئ الأساسية في مجال معالجة المياه، ويوفّر القاعدة الضرورية من المعلومات المتعلقة بالتقنيات الخاصة بكيفية إدا,1278,2011, المنظمة العربية للترجمة, غلاف كرتوني,التاريخ والجغرافيا,الدراسات الجغرافية,210.01
2222, خـط فـي الـرمـال، بـريـطـانـيـا و فـرنـسـا و الـصـراع الـذي شـكّـل الـشـرق الأوسـط, سلافة الماغوط, None,493,2015, دار الحكمة للنشر والتوزيع, غلاف ورقي,التاريخ والجغرافيا,الدراسات الجغرافية,75.01
2223, أخبار أمم المجوس, ألكسندر سيبل, None,183,0, دار ومكتبة بيبليون, غلاف فني,التاريخ والجغرافيا,الدراسات الجغرافية,30.0
2225, جغرافية ميناء طرابلس الغرب, حسين مسعود أبو مدينة, None,370,0, دار الشعب للطباعة والنشر والتوزيع, غلاف عادي,التاريخ والجغرافيا,الدراسات الجغرافية,93.76
2227, دور العرب والمسلمين في اكتشاف العالم الجديد وغياب المنافسة البحرية العثمانية في هذه الكشوف, فهمي مقبل, None,192,2003, دار أسامة للنشر والتوزيع, غلاف ورقي,التاريخ والجغرافيا,الدراسات الجغرافية,26.25
2228, المعجم الجغرافي - ملون, آمنة أبو حجر, None,1024,2011, دار أسامة للنشر والتوزيع, غلاف كرتوني,التاريخ والجغرافيا,الدراسات الجغرافية,150.01
2230, الجغرافيا السياحية, أمنة ابو حجر, None,264,2011, دار أسامة للنشر والتوزيع, غلاف كرتوني,التاريخ والجغرافيا,الدراسات الجغرافية,60.0
2231, تاريخ الحروب الصليبية, مفيد الزيدي, None,288,2011, دار أسامة للنشر والتوزيع, غلاف كرتوني,التاريخ والجغرافيا,الدراسات الجغرافية,67.5
2232, كتاب تسطيح الصور وتبطيح الكور ويليه مجموعة رسائل إلى البيروني في الأزياج والاسطرلاب, أبو الريحان البيروني, None,200,0, دار ومكتبة بيبليون, غلاف فني,التاريخ والجغرافيا,الدراسات الجغرافية,37.5
2233, أرباع خراسان, قحطان الحديثي, يقدم هذا الكتاب دراسة من أحوال خراسان الجغرافية والإدارية والاقتصادية حتى نهاية القرن الرابع للهجرة.  عرض,589,0, الدار العربية للموسوعات, غلاف عادي,التاريخ والجغرافيا,الدراسات الجغرافية,75.01
2234, جزيرة خترج من جزر الخليج العربي, مصطفى النجار ، محمد أبو مغلى, يقدم هذا الكتاب دراسة شاملة لجزيرة خترج، متناولاً جوانبها المختلفة من جغرافية وتاريخية واتقصادية واجتماعية.  عرض,124,0, الدار العربية للموسوعات, غلاف عادي,التاريخ والجغرافيا,الدراسات الجغرافية,56.25
2235, الأعلاق النفسية, أبي علي بن رسته ،  أحمد بن عمر, حظيت الدراسات الجغرافية والفلكية باهتمام واسع من لدن العلماء العرب والمسلمين وخاصة في عصورهم الزاهرة. إذ صحح العرب ما اقتبسوه من اليونان وأضافوا إ ليه الكثير سا عندهم حتى طبعوه بطابعهم الخاص. يعرض المؤلف لأمر الفلك وصفته فيذكر الكثير مسا دونه العلماء عن ال عرضليه الكثير سا عندهم حتى طبعوه بطابعهم الخاص. يعرض المؤلف لأمر الفلك وصفته فيذكر الكثير مسا دونه العلماء عن ال,224,0, دار إحياء التراث العربي, غلاف فني,التاريخ والجغرافيا,الدراسات الجغرافية,24.38
2237, وصف أقاليم شبه الجزيرة العربية, كارستن نيبور, إن أهمية رحلة العالم كارستن نيبور تنبع منكونه من أقدم الرحالة الأوروبيين الذين جالوا في بلادنا العربية، فطلا عن كونه شاهد عيان لمرحلة من التاريخ ا لعربي عرضلعربي,368,2013, مؤسسة الانتشار العربي, غلاف كرتوني,التاريخ والجغرافيا,الدراسات الجغرافية,56.25
2239, جغرافية العالم, نضال البزم, تضمن هذا الكتاب الحديث عن كوكب الأرض التي سكنها البشر في مناطق مختلفة ومقسمة حول العالم في دول محددة ، من خلال شرح أبرز معالم القارات ، وخصائصها ، والدول التي تحويها ، وتضمن خرائط وعواصم لبلدان العالم ، وتناول بالذكر نبذة تاريخية عن دول الوطن العربي ، ومعلومات عن المجموعة الشمسية . عرضوالدول التي تحويها ، وتضمن خرائط وعواصم لبلدان العالم ، وتناول بالذكر نبذة تاريخية عن دول الوطن العربي ، ومعلومات عن المجموعة الشمسية .,270,2009, دار عالم الثقافة للنشر والتوزيع, غلاف عادي,التاريخ والجغرافيا,الدراسات الجغرافية,45.0
2241, المدينة العربية بين عولمتين, سالم المعوش, None,324,0, دار النهضة العربية للطباعة والنشر والتوزيع, غلاف كرتوني,التاريخ والجغرافيا,الآثار,45.0
2245, صيانة وترميم المكتشفات الأثرية (أحدث الوسائل والتقنيات العالمية), جعفر زهير فضل الله, هذا الكتاب محاولة لإضافة جديد إلى المكتبة العربية، يتناول موضوع صيانة وترميم المقتنيات الفنية والموروثة عن الآباء والأجداد، وحاجة ضرورية بين يدي أ ساتذة وطلاب علم الآثار والعاملين في هذا المضمار كعمل علمي باللغة العربية يتناول مراحل تطور علم ترميم وصيانة الآثار عبر عصور التاريخ المختلفة، وطرق تطبيقه بناءً على أحدث ما توصل إليه علماء الصيانة والترميم والكيمياء في معالجة وصيانة الآثار.هذا الكتاب مشروع إجابة عن أسئلة كثيرة، تهدف إلى حماية التراث الإنساني من أسباب التلف أطول فترة ممكنة، كي تظل دوماً الوثائق المادية –التي لا يتطرق أدمة شك إلى ما تمثله من قيم تاريخية وأثرية وفنية وجمالية- مؤشراً على ما حققه الأجداد في مجالات العمارة والفنون والعلوم المختلفة، وحافزاً معنوياً للأجيال القادمة على مواصلة التطور والتقدم في مضمار النبوغ الحضاري. عرضساتذة وطلاب علم الآثار والعاملين في هذا المضمار كعمل علمي باللغة العربية يتناول مراحل تطور علم ترميم وصيانة الآثار عبر عصور التاريخ المختلفة، وطرق تطبيقه بناءً على أحدث ما توصل إليه علماء الصيانة والترميم والكيمياء في معالجة وصيانة الآثار.هذا الكتاب مشروع إجابة عن أسئلة كثيرة، تهدف إلى حماية التراث الإنساني من أسباب التلف أطول فترة ممكنة، كي تظل دوماً الوثائق المادية –التي لا يتطرق أدمة شك إلى ما تمثله من قيم تاريخية وأثرية وفنية وجمالية- مؤشراً على ما حققه الأجداد في مجالات العمارة والفنون والعلوم المختلفة، وحافزاً معنوياً للأجيال القادمة على مواصلة التطور والتقدم في مضمار النبوغ الحضاري.,240,0, دار قابس للطباعة والنشر والتوزيع, غلاف عادي,التاريخ والجغرافيا,الآثار,56.25
