title_ar,description_ar,pages,published_year,author_name_ar,author_slug,genre,cover,isbn
أم حامد,"تعود بنا إلى زمن ""الخرج"" و ""القفة"" في زمن اعتقد خلاله احد شخوص الرواية ""حامد"" إن السفر إلى باريس للترسيم بكلية الحقوق لا يتطلب شيئا عدا بعض الدنان ير . المكان في الرواية ينطلق من ""العضلة"" (الفلايلية) ريف من أرياف سيدي علي بن نصرالله مرورا بتونس العاصمة وصولا إلى عاصمة الأنوار باريس ليبني الكاتب انطلاقا من الأمكنة المتعددة جملة من الأحداث الشيقة و المتداخلة عرضير . المكان في الرواية ينطلق من ""العضلة"" (الفلايلية) ريف من أرياف سيدي علي بن نصرالله مرورا بتونس العاصمة وصولا إلى عاصمة الأنوار باريس ليبني الكاتب انطلاقا من الأمكنة المتعددة جملة من الأحداث الشيقة و المتداخلة",,,مصطفى الفيلالي,مصطفى-الفيلالي,أدب قصصي / عام, غلاف ورقي,
مسيا,هى لفظة يهودية تعني في الإيمان اليهودي هو إنسان مثالي من نسل الملك داود (النبي داود في الإسلام) يباشر بنهاية التاريخ ويخلص الشعب اليهودي من وي لاته. والأحداث المتوقعة عند وصول الماشيح حسب الإيمان اليهودي تشابه أحداث يوم القيامة في الإسلام والمسيحية، تدور ا عرضلاته. والأحداث المتوقعة عند وصول الماشيح حسب الإيمان اليهودي تشابه أحداث يوم القيامة في الإسلام والمسيحية، تدور ا,,,عمرو الجندي,عمرو-الجندي,أدب قصصي / عام, غلاف ورقي,
مولود بين الدرافيل,تبدأ الرواية باكتشاف مذهل للفتى مايكل أثناء رحلة ميدانية مع مدرسته لحوض الدرافيل، إذ يجد نفسه بدون تفكير يقفز إلى الماء ويسبح مع الدرافيل ببساطة و تلقائية كما لو كان يفعل هذا طوال حياته. وتجد أمه باتريسيا نفسها مُلزمة بتقديم تفسير لابنها وأن تكشف له حقائق عرضتلقائية كما لو كان يفعل هذا طوال حياته. وتجد أمه باتريسيا نفسها مُلزمة بتقديم تفسير لابنها وأن تكشف له حقائق,,,باتريك لاجرو,باتريك-لاجرو,أدب قصصي / عام, غلاف ورقي,
الخدع المتبادلة,حياة لديها مشكلة مع أصدقاء أخوها صفوان، فعامر يطاردها وسعيد يغازلها وكذلك وائل وكريم. لارا تدعو حياة إلى سهرة وترتب لها موعداً مع وائل لتبرر لقائه ا مع سليم ولكن حياة تميل إلى كريم وهو فتى لعوب لا يستقر في علاقاته مع الفتيات فتولعت به صديقتها لارا ودبّ الخ عرضا مع سليم ولكن حياة تميل إلى كريم وهو فتى لعوب لا يستقر في علاقاته مع الفتيات فتولعت به صديقتها لارا ودبّ الخ,,,كوثر ماجد,كوثر-ماجد,أدب قصصي / عام, غلاف ورقي,
الذبابة,None,,,عبيد بوملحه,عبيد-بوملحه,أدب قصصي / عام, غلاف ورقي,
رحلتي من الطب إلى سوق العبور,قواعد العشق الممحون إنك تريَّح شريكة حياتك ده شئ مهم، يعني لو بتكره الصوت العالي مش هاعلِّي صوتي … لو عاوزاني أقولها كلام حلو هاقول كلام حلو،  لو مابتحبش عزت العلايلي … فده طبيعي يعني مش هاعمل حاجة. لكن دلوقتي أنا مبقتش فاهم والله شريحة كبيرة من البنات بتفكر ازاي … يعني لما تقوليلي أنا مبقتش حاسة ” بشغف في العلاقة ” المفروض أعمل إيه ؟! طيب ماتفهميني يعني إيه شغف عشان أريحك وأعملهولك .. مش يمكن أطلع باعرف واشغف عليكِ ؟.. ولو معنديش شغف أجيبلك شغف .. ما أنا ياما جبتلك دباديب وورد. لما تقوليلي نفسي” تطبطب علي دموعي !! ” .. أنا عشان أعمل حاجة زي دي أو أطبطب على دموعك فأنا كده هديكي بالقلم عشان أطبطب على دموعك اللي على خدك … أو أدخل أطبطب عليهم قبل ما ينزلوا وافقعلك نني عينك يا بيبي. لما تعملي شير لتفاحة آدم بتاعة واحد وتقولي هييييييح !! طيب دي أعمل فيها إيه دي ؟! أجيبها ازاي ؟! أنا أعرف حد يروح يزرع سليكون .. يزرع شعر .. لكن منظري أيه وانا رابط رقبتي برباط ضاغط ، وأي حد يسألني أقولهم أصلي زارع تفاحة آدم بس لسه مطرحتش. لما الاقيكي عاملة شير لبوست ” نفسي أدوق من روحك حتة ” .. مش فاهم يعني إيه المتعة والرومانسية في كده ؟! وهل أنا عشان أبقي رومانسي .. أقولك ” طب خدي عيش غمزي يا عمري عشان تشبعي ؟! .. بالله عليكم ياريت يا جماعة أي حد داق من روح اللي جنبه حتة يقولنا طعمها إيه عشان باقرف ومش هدوَّقها حاجة. معنديش مانع إني أسعدك وأطبطب علي روحك، وأغطي إحساسك في البرد .. معنديش مانع أطبطب علي كرات دمك الحمراء، وأجيبلك جبنة بيضا قديمة من ” الصفائح ” الدموية بتاعتي، ونشرب بلازما سوا من دمي .. بس فهميني الحاجات دي بتتعمل ازاي وأنا أعملهالك يا عمري . عرضلو مابتحبش عزت العلايلي … فده طبيعي يعني مش هاعمل حاجة. لكن دلوقتي أنا مبقتش فاهم والله شريحة كبيرة من البنات بتفكر ازاي … يعني لما تقوليلي أنا مبقتش حاسة ” بشغف في العلاقة ” المفروض أعمل إيه ؟! طيب ماتفهميني يعني إيه شغف عشان أريحك وأعملهولك .. مش يمكن أطلع باعرف واشغف عليكِ ؟.. ولو معنديش شغف أجيبلك شغف .. ما أنا ياما جبتلك دباديب وورد. لما تقوليلي نفسي” تطبطب علي دموعي !! ” .. أنا عشان أعمل حاجة زي دي أو أطبطب على دموعك فأنا كده هديكي بالقلم عشان أطبطب على دموعك اللي على خدك … أو أدخل أطبطب عليهم قبل ما ينزلوا وافقعلك نني عينك يا بيبي. لما تعملي شير لتفاحة آدم بتاعة واحد وتقولي هييييييح !! طيب دي أعمل فيها إيه دي ؟! أجيبها ازاي ؟! أنا أعرف حد يروح يزرع سليكون .. يزرع شعر .. لكن منظري أيه وانا رابط رقبتي برباط ضاغط ، وأي حد يسألني أقولهم أصلي زارع تفاحة آدم بس لسه مطرحتش. لما الاقيكي عاملة شير لبوست ” نفسي أدوق من روحك حتة ” .. مش فاهم يعني إيه المتعة والرومانسية في كده ؟! وهل أنا عشان أبقي رومانسي .. أقولك ” طب خدي عيش غمزي يا عمري عشان تشبعي ؟! .. بالله عليكم ياريت يا جماعة أي حد داق من روح اللي جنبه حتة يقولنا طعمها إيه عشان باقرف ومش هدوَّقها حاجة. معنديش مانع إني أسعدك وأطبطب علي روحك، وأغطي إحساسك في البرد .. معنديش مانع أطبطب علي كرات دمك الحمراء، وأجيبلك جبنة بيضا قديمة من ” الصفائح ” الدموية بتاعتي، ونشرب بلازما سوا من دمي .. بس فهميني الحاجات دي بتتعمل ازاي وأنا أعملهالك يا عمري .,,,محمد بن جمال,محمد-بن-جمال,أدب قصصي / عام, غلاف ورقي,
أخاف عليك,أخاف عليك من أن تتواطأ الأشياء ضدك وأنا بعيد عنك كذكرى قديمة، أخشى أن تحتاجي إلى شخص للحديث عن أوجاعك، وعن احتياجاتك العاطفية، وعن شوق يموت في صدرك دون أن يسعفه أحد! أو يفهم كل الكلام الذي ينبت في حنجرتك دون أن يقطفه أحد ليهديه لمن تحبين. عرضيموت في صدرك دون أن يسعفه أحد! أو يفهم كل الكلام الذي ينبت في حنجرتك دون أن يقطفه أحد ليهديه لمن تحبين.,,,فهد العودة,فهد-العودة,أدب قصصي / عام, غلاف ورقي,
سبعة أودية,None,,,عبد الحميد عبود,عبد-الحميد-عبود,أدب قصصي / عام, غلاف عادي,
فيلّا النساء,يعيش اسكندر حايك حياة هانئة سعيدة. فهو تاجر أقمشة يسيطر سيّداً مطلقاً على مصنعه وأراضيه وعائلته، بالرغم من الغيوم التي تتكدّس في سماء لبنان في تلك الحقبة من منتصف الستّينّات، وبالرغم أيضاً من المشاجرات المتواصلة بين شقيقته مادو الشكسة وزوجته ماري وابنته ا عرضالحقبة من منتصف الستّينّات، وبالرغم أيضاً من المشاجرات المتواصلة بين شقيقته مادو الشكسة وزوجته ماري وابنته ا,,,شريف مجدلاني,شريف-مجدلاني,أدب قصصي / عام, غلاف ورقي,
المسيح يصلب من جديد,None,,,نيكوس كازانتزاكيس,نيكوس-كازانتزاكيس,أدب قصصي / عام, غلاف ورقي,
جيش قمبيز المفقود,رواية مثيرة ترتعد لها الفرائص، متسارعة الوتيرة، وتحتوي على مقومات مغامرات جيمس بوند، فيها أماكن غريبة وآثار لا تقدر بثمن وأشرار متعصبون ذوو نفوذ و اسع، إضافة إلى عمليات قتل وحشية ورجال شرطة فاسدين وبطولات إنسانية تجعلك تحبس أنفاسك حتى تصل إلى الفصل الأخير، عرضاسع، إضافة إلى عمليات قتل وحشية ورجال شرطة فاسدين وبطولات إنسانية تجعلك تحبس أنفاسك حتى تصل إلى الفصل الأخير،,,,بول سوسمان,بول-سوسمان,أدب قصصي / عام, غلاف ورقي,
زهور فان غوخ,لم يكن حميد يعلم أن اللوحة التي اشتراها بثمن بخس من إحدى أسواق الخردة في مكة ستكسر رتابة حياته! ينتبه صديقه فيصل إلى أنها قد تكون «زهور ا لخشخاش» نفسها، اللوحة المسروقة للفنان الهولندي فان غوخ. لكن لهذه اللوحة حكايات مُرّة. فمنذ بيعت بثلاثين فرنكاً فرنسي عرضلخشخاش» نفسها، اللوحة المسروقة للفنان الهولندي فان غوخ. لكن لهذه اللوحة حكايات مُرّة. فمنذ بيعت بثلاثين فرنكاً فرنسي,,,مقبول العلوي,مقبول-العلوي,أدب قصصي / عام, غلاف ورقي,
مسارات زمكانية,"""مسارات زمكانية"" عمل روائي جديد للروائي فراس عنجريني يلامس الأحداث السياسية الراهنة الجارية في سورية والرواية ذات بعد فلسفي وجودي تحتوي أسئلةً جوه ريةً، وأما شخصياتها وأحداثها الافتراضية فهي مستقّاة من شخصياتٍ وأحداثٍ حقيقية تم جمعها وإعادة ترتيبها ضمن سيا عرضريةً، وأما شخصياتها وأحداثها الافتراضية فهي مستقّاة من شخصياتٍ وأحداثٍ حقيقية تم جمعها وإعادة ترتيبها ضمن سيا",,,فراس عنجريني,فراس-عنجريني,أدب قصصي / عام, غلاف ورقي,
القلم المسحور,None,,,هدى عامر,هدى-عامر,أدب قصصي / عام, غلاف ورقي,
أرخبيل الذباب,"ما نعرفه عن ""بشير مفتي"" الروائي الجزائري، أنه الكاتب الذي يقول الحقيقة ويمضي، أمين في نقل قضايا مجتمعه، يعيش الملاحظة والتجربة والتدقيق في التفاصي ل التي لا تشغل الناس العاديين وهي مهمة صعبة وخطيرة؛ ففي رواياته علاقات تنشأ ثم ما تلبث أن تتفكك، وهنالك أيضاً عرضل التي لا تشغل الناس العاديين وهي مهمة صعبة وخطيرة؛ ففي رواياته علاقات تنشأ ثم ما تلبث أن تتفكك، وهنالك أيضاً",,,بشير مفتي,بشير-مفتي,أدب قصصي / عام, غلاف ورقي,
الوليمة,اعتدت أن الحياة تتخذ منحى مختلفًا تمامًا عما توقعناه. دائمًا ما تحمل لنا شيئًا ربما أكثر أهمية وأقل دراماتيكية مما توقعناه. لكن يحدث أحيانًا أننا  نسقط في مكان ظننا أنه آمن بشكل تام. قد تكون مشكلات يومية، وأحيانًا مشاكسات في العمل، لكن هذا يستهلك طاقتي، و عرضنسقط في مكان ظننا أنه آمن بشكل تام. قد تكون مشكلات يومية، وأحيانًا مشاكسات في العمل، لكن هذا يستهلك طاقتي، و,,,روت ليخناروفا,روت-ليخناروفا,أدب قصصي / عام, غلاف ورقي,
نقرات الظباء,كان شعرها الكثيف البياض، وجسدها شديد النحول. رأتهم وهم يسكبون الماء على جسدها قبل أن يلفُّوها بالكفن، بعدها ينثرون العطور وينصرفون، دون أن يصرخوا  أو يبكوا أو حتى يلبسوا ثياب الحداد. كانوا قد أعلنوا عن موتها قبل ذلك بكثير، من يوم أن أدخلوها هذا البيت وأغلق عرضأو يبكوا أو حتى يلبسوا ثياب الحداد. كانوا قد أعلنوا عن موتها قبل ذلك بكثير، من يوم أن أدخلوها هذا البيت وأغلق,,,ميرال الطحاوي,ميرال-الطحاوي,أدب قصصي / عام, غلاف ورقي,
الصرصار,في جو من الإنتقام والرغبة والهلوسة والأزمات، يحوك راوي حاج أحداث روايته الجديدة متناولاً حياة المهاجرين إلى كندا، ويقدّم لها نهاية غير متوقعة البت ة. لبناني يعيش في مونتريال، يحاول الإنتحار ويتمّ إنقاذه، يرتاد العيادة النفسية لكنّه يتلاعب بأعصاب الطبيبة، عرضة. لبناني يعيش في مونتريال، يحاول الإنتحار ويتمّ إنقاذه، يرتاد العيادة النفسية لكنّه يتلاعب بأعصاب الطبيبة،,,,راوي حاج,راوي-حاج,أدب قصصي / عام, غلاف ورقي,
القهوة السوداء,شعر المخترع سيركلود أموري بغصة في حلقه حين سرقت المعادلة الخاصة باختراع المتفجرات الجديدة,,,أجاثا كريستي,أجاثا-كريستي,أدب قصصي / عام, غلاف ورقي,
على الجانب الآخر,None,,,إنجي مطاوع,إنجي-مطاوع,أدب قصصي / عام, غلاف ورقي,
رواية 7,في جزيرة ميدوسا، كان على جلنار أن تنتقي واحداً من الرجال السبعة كي تمضي معه ليلة مثيرة. هؤلاء لم يأتوا إلى الجزيرة إلا طمعاً بجسدها. إنهم يشتهونها بعنف. الشاعر شحته مولع بالأساطير خصوصاً بالشعر، لكن الكلمات القديمة تضيق بعواطفنا المتجدّدة. الفيلسوف جمال عرضبعنف. الشاعر شحته مولع بالأساطير خصوصاً بالشعر، لكن الكلمات القديمة تضيق بعواطفنا المتجدّدة. الفيلسوف جمال,,,غازي القصيبي,غازي-القصيبي,أدب قصصي / عام, غلاف ورقي,
سفر الأراجوز,الداية مدت يدها إلى الفتاة ابنة الثري بصحن الحلاوة المخلوطة بالشطة، الفتاة نقلت بصرها بين الصحن وبين الداية. الداية ربتت عليها قبل أن تبتلع الفتاة ما حوى الصحن دون مضغ وقبل أن يتذوقه فمها. الحلاوة المخلوطة بالشطة مهيجة لنار الجسد، تشعل فيه الحمى. الداية عرضما حوى الصحن دون مضغ وقبل أن يتذوقه فمها. الحلاوة المخلوطة بالشطة مهيجة لنار الجسد، تشعل فيه الحمى. الداية,,,أحمد سعد,أحمد-سعد,أدب قصصي / عام, غلاف ورقي,
ليلة الريس الأخيرة,أنا معمر القذافي، هذا وحده من شأنه تعزيز الإيمان. أنا الذي بواسطته يأتي الخلاص. لا أخشى الأعاصير ولا حالات التمرد والعصيان. تلمّسوا قل بي إذاً، تجدوه يضبط الحركة المحسوبة لتشتت الخونة إن الله إلى جانبي! بهذه الكلمات كان القذافي يشدّ من عزيمته، بينما يق عرضبي إذاً، تجدوه يضبط الحركة المحسوبة لتشتت الخونة... إن الله إلى جانبي! بهذه الكلمات كان القذافي يشدّ من عزيمته، بينما يق,,,ياسمينة خضرا,ياسمينة-خضرا,أدب قصصي / عام, غلاف ورقي,
حياة الرماد,كانت أيَّام ما قبل الانتحار؛ هي أصفى الأوقات في حياته كلها، التّي امتدَّت لخمسة عقود ترنَّح فيها بين الحب والبغض، بين اليأس والأمل، بين ال فرح والحزن، بين الغدر والوفاء . إلا أن هناك شيئًا لم يجد له مقابلًا في حياته، ساح فيه بوعيه، وبكامل إرادته حتَّى أدمن عرضفرح والحزن، بين الغدر والوفاء . إلا أن هناك شيئًا لم يجد له مقابلًا في حياته، ساح فيه بوعيه، وبكامل إرادته حتَّى أدمن,,,مجدي يونس,مجدي-يونس,أدب قصصي / عام, غلاف ورقي,
أوليس البغدادي,يريد سعد أن يترك بغداد والفوضى التي تعم فيها ليهاجر إلى أوروبا، إلى الحرية، إلى المستقبل. ولكن كيف سيقطع الحدود بدون دينار في جيبه؟ فشأنه شأن أولي س بطل أوديسة هوميروس يجابه العواصف، ينجو بعد أن غرق مركبه، يفلت من مهربي الأفيون، يصم أذنيه عن غناء الحوريات، عرضس بطل أوديسة هوميروس يجابه العواصف، ينجو بعد أن غرق مركبه، يفلت من مهربي الأفيون، يصم أذنيه عن غناء الحوريات،,,,إريك شميت,إريك-شميت,أدب قصصي / عام, غلاف ورقي,
وأنا أحبك يا سليمة,None,,,شريف سعيد,شريف-سعيد,أدب قصصي / عام, غلاف ورقي,
كان البروفيسور لصآ مع cd,فتح الرقيب كيلي عينيه ناخرآ ، ثم قام الى الامام ببطء ، وهو يرفع بنطاله الذي كان قد حل ازراره كي يريح بطنه المنتفخ أمامه كالبالون ، في البداية استا ءت عينيه من رؤية زي الخفير اورورك مختل التركيب ، لكن انزعاجه تحول فجأة الى شعور بالاهتمام فأي عين لرقيب في الشرطة لم تكن لتهتم أمام هذا المنظر . عرضءت عينيه من رؤية زي الخفير اورورك مختل التركيب ، لكن انزعاجه تحول فجأة الى شعور بالاهتمام فأي عين لرقيب في الشرطة لم تكن لتهتم أمام هذا المنظر .,,,ل. هابرد,ل-هابرد,أدب قصصي / عام, غلاف كرتوني,
مثل إيكاروس,"للحقيقة ثمن، وللمعرفة ثمن، وقد دفع ""محمود السمنودي"" مقابل معرفته نبذا وألما ومعاناه، منذ طفولته كطفل غريب الأطوار بين أقرانه وكرجل لا يرغب أحد فى  الإقتراب منه. تدور أحداث الرواية عام 2020، وتمتد إلى المستقبل ثم تعود إلى الماضي لتجتمع كل الخيوط فى حجرة داخ عرضالإقتراب منه. تدور أحداث الرواية عام 2020، وتمتد إلى المستقبل ثم تعود إلى الماضي لتجتمع كل الخيوط فى حجرة داخ",,,أحمد توفيق,أحمد-توفيق,أدب قصصي / عام, غلاف ورقي,
الفتيت المبعثر,None,,,محسن الرملي,محسن-الرملي,أدب قصصي / عام, غلاف ورقي,
أيام كنا نحتال على الأشياء,"قبل أكثر من ثلاثين سنة، كتبت على غلاف رواية (التعيس الذي رأى نفسه) أن مؤلفها علي حداد يشكل لغزاً، فهو إما عبقري كبير أو لص كبير، ذلك أن روايته تلك كانت جميلة وتتمتع بقوة أسلوبية وحياتية جارحة، ولكن أحداثها وأمكنتها وأسماء شخوصها كانت أجنبية وغريبة، وهذا ما خلق غمامة من الشك حوله، كان آنذاك يستقبل ريبتنا بقهقهاته المعروفة، ومواصلة شق طويقة في كتابة القصة والرواية، تارة بجو أجنبي وتارة بجو عراقي شعبي، واليوم تشاء الصدفة السعيدة الحزينة أن أقرأ روايته هذه التي كتبها خلال وبعد عيشه في الأسر لدى الإيرانيين ثلاث عشرة سنة! لأجد بناءه الروائي ولمحاته الإبداعية، وجملته الموحية المدهشة هي تلك لمستها في ""التعيس الذي رأى نفسه""، والجو الأجنبي صار هذه المرة مسوراً بالبنادق واللحي الطويلة والثياب السود وفي الخضم الروائي المؤلف نفسه ومعه آلاف الأسرى العراقيين، النص الروائي عذب وإن خالطته أو طغت عليه بعض فصوله السير الذاتية!عند عودة علي حداد من الأسر كان يردد مع نفسه وبين أصدقائه أن ما يجعل ثمة مبرراً لثلاث عشرة سنة هدرت من عمره في الأسر هو أن يكتبها بطريقة ما، أو ينجز عملاً روائياً عن موضوع أو قضية من السيل المتدفق الذي اجتاحه هناك، استدعي مرات عديدة من دوائر الأمن في بغداد وطلبوا منه أن يكتب روايته مثلما يريدون، وقد تمكن اليوم في العهد الجديد أن ينفذ نصه الجميل والمؤثر هذا من التشويه الذي أرادوا فرضه عليه. هل صرت اليوم مقتنعاً أن علي حداد عبقري كبير وليس لصاً كبيراً؟ بالطبع أما مقتنع اليوم أن علي حداد ليس لصاً كبيراً أو صغيراً، أما مسألة العبقرية في الإبداع فإن علي حداد نفسه بعد كل ما رأى من أهوال وعذاب صار زاهداً بها تماماً.إبراهيم أحمد عرضكانت جميلة وتتمتع بقوة أسلوبية وحياتية جارحة، ولكن أحداثها وأمكنتها وأسماء شخوصها كانت أجنبية وغريبة، وهذا ما خلق غمامة من الشك حوله، كان آنذاك يستقبل ريبتنا بقهقهاته المعروفة، ومواصلة شق طويقة في كتابة القصة والرواية، تارة بجو أجنبي وتارة بجو عراقي شعبي، واليوم تشاء الصدفة السعيدة الحزينة أن أقرأ روايته هذه التي كتبها خلال وبعد عيشه في الأسر لدى الإيرانيين ثلاث عشرة سنة! لأجد بناءه الروائي ولمحاته الإبداعية، وجملته الموحية المدهشة هي تلك لمستها في ""التعيس الذي رأى نفسه""، والجو الأجنبي صار هذه المرة مسوراً بالبنادق واللحي الطويلة والثياب السود وفي الخضم الروائي المؤلف نفسه ومعه آلاف الأسرى العراقيين، النص الروائي عذب وإن خالطته أو طغت عليه بعض فصوله السير الذاتية!عند عودة علي حداد من الأسر كان يردد مع نفسه وبين أصدقائه أن ما يجعل ثمة مبرراً لثلاث عشرة سنة هدرت من عمره في الأسر هو أن يكتبها بطريقة ما، أو ينجز عملاً روائياً عن موضوع أو قضية من السيل المتدفق الذي اجتاحه هناك، استدعي مرات عديدة من دوائر الأمن في بغداد وطلبوا منه أن يكتب روايته مثلما يريدون، وقد تمكن اليوم في العهد الجديد أن ينفذ نصه الجميل والمؤثر هذا من التشويه الذي أرادوا فرضه عليه. هل صرت اليوم مقتنعاً أن علي حداد عبقري كبير وليس لصاً كبيراً؟ بالطبع أما مقتنع اليوم أن علي حداد ليس لصاً كبيراً أو صغيراً، أما مسألة العبقرية في الإبداع فإن علي حداد نفسه بعد كل ما رأى من أهوال وعذاب صار زاهداً بها تماماً.إبراهيم أحمد",,,علي حداد,علي-حداد,أدب قصصي / عام, غلاف عادي,
بن عزرا,``لم يكن المشهد في الباحة الخلفية للمنزل يروق كثيرًا للناظرين؛ قاتم، تناثرت على أرصفته أشجار تكاد تسقط على الأرض ساجدة من طول وقفتها في هذا المكان الموحش، لم يكن يضيء المكان سوى تلك الإضاءة الخافتة القادمة من المنزل تعكس ظلالًا لنوافذه العالية.. منزل يقبع عرضالموحش، لم يكن يضيء المكان سوى تلك الإضاءة الخافتة القادمة من المنزل تعكس ظلالًا لنوافذه العالية.. منزل يقبع,,,محمد عكاشة,محمد-عكاشة,أدب قصصي / عام, غلاف ورقي,
كلنا خونة على نحو ما,رواية تتحدث عن الخيانة حينما يكون الإخلاص هو المطلوب، وعن الحب في زمن اللاحب، عن الفوضى في تلك اللحظة الفارقة التي نحتاج فيها إلى النظام. تحاو ل بكلماتها البسيطة القبض على مقترفي الجرائم، لتقدمهم لعدالة التاريخ. عرضل بكلماتها البسيطة القبض على مقترفي الجرائم، لتقدمهم لعدالة التاريخ.,,,محمد خميس,محمد-خميس,أدب قصصي / عام, غلاف ورقي,
يوم من الأيام..,رواية سلسة ومشّوقة في هذا الكتاب الذي هو أشبه بشريط سينمائي، يصنعه ويديره القارئ بنفسه من خلال الكلمة، وعبر تشغيل تصوّره لكل ما يجري داخل سيناريو  متكامل، يتحرك ويصبح جاهزاً للعرض ما أن يبدأ بقراءته. كاميرا سريعة تدور لتسجّل لقطات ومشاهد حية من حياة مجم عرضمتكامل، يتحرك ويصبح جاهزاً للعرض ما أن يبدأ بقراءته. كاميرا سريعة تدور لتسجّل لقطات ومشاهد حية من حياة مجم,,,أمل عفيفي,أمل-عفيفي,أدب قصصي / عام, غلاف ورقي,
أحلام محطمة,"رواية تاريخية تدور أحداثها في زمنين مختلفين متوازيين. الأول في تركيا، والثاني في اليونان أيَّام الحكم العثماني. تروي ارواية حادثة اغتيال قنصليين ف ي سالونيكا عام 1876، وتبعات الحادثة، وتصف العلاقة بين المسلمين والمسيحيين والتوتر الذي كان سائدًا بين الفريقين. كما توجد قصة الفتاة ""ستيفانا"" التي تعتنق الإسلام، وتهرب من أهلها بمساعدة بعض السكان المحليين حتى تستطيع اللحاق بحبيبها الغني الأكبر منها سنًا. عندما يصل القطار الذي يحملها إلى سالونيكا، تعلق في شجار عنيف بين المسلمين والمسيحيين الذي يعيشون في المدينة. تقوم مجموعة من اليونانيين بخطفها وإرسالها أولًا إلى القنصلية الأمريكية، ثم يتم نقلها إلى بين أحد رجال الأعمال اليونان. في الوقت نفسه، يعبر الكثيرون من المسلمون عن غضبهم لمَّا ظنُّوه اعتداءً على فتاة مسلمة، فيسيرون في مظاهرات عنيفة، بدون أن يلتفتوا لحقيقة أن ""ستيفانا"" قد أُطلق سراحها بالفعل، وهكذا يقوم المتظاهرون بقتل القنصل الألماني والفرنسي اللذين جاءا إلى المسجد في محاولة منهما لتهدئة الجموع الغاضبة. في الزمن الآخر، الذي يبدأ عام 1920 في إسطنبول، نتعرف على ""تحسين بيك""، الذي كان حاكمًا للعديد من المقاطعات، والذي أصبح فيما بعد عضوًا بالبرلمان. يشهد احتلال البريطانيين للبرلمان وقبضهم على أعضاءه، وفي الليلة نفسها يهاجمون بيته ويلقون القض عليه وهو في ملابس نومه. يحاكمونه بتهمة مجرم حرب لدوره في تهجير الأرمن أثناء فترة ولايته لمقاطعة ""إرزوروم""، وهكذا يتم نفيه إلىمالطا، ولكنه ينجح هو وآخرون ممن تم نفيهم في الهروب. عرضي سالونيكا عام 1876، وتبعات الحادثة، وتصف العلاقة بين المسلمين والمسيحيين والتوتر الذي كان سائدًا بين الفريقين. كما توجد قصة الفتاة ""ستيفانا"" التي تعتنق الإسلام، وتهرب من أهلها بمساعدة بعض السكان المحليين حتى تستطيع اللحاق بحبيبها الغني الأكبر منها سنًا. عندما يصل القطار الذي يحملها إلى سالونيكا، تعلق في شجار عنيف بين المسلمين والمسيحيين الذي يعيشون في المدينة. تقوم مجموعة من اليونانيين بخطفها وإرسالها أولًا إلى القنصلية الأمريكية، ثم يتم نقلها إلى بين أحد رجال الأعمال اليونان. في الوقت نفسه، يعبر الكثيرون من المسلمون عن غضبهم لمَّا ظنُّوه اعتداءً على فتاة مسلمة، فيسيرون في مظاهرات عنيفة، بدون أن يلتفتوا لحقيقة أن ""ستيفانا"" قد أُطلق سراحها بالفعل، وهكذا يقوم المتظاهرون بقتل القنصل الألماني والفرنسي اللذين جاءا إلى المسجد في محاولة منهما لتهدئة الجموع الغاضبة. في الزمن الآخر، الذي يبدأ عام 1920 في إسطنبول، نتعرف على ""تحسين بيك""، الذي كان حاكمًا للعديد من المقاطعات، والذي أصبح فيما بعد عضوًا بالبرلمان. يشهد احتلال البريطانيين للبرلمان وقبضهم على أعضاءه، وفي الليلة نفسها يهاجمون بيته ويلقون القض عليه وهو في ملابس نومه. يحاكمونه بتهمة مجرم حرب لدوره في تهجير الأرمن أثناء فترة ولايته لمقاطعة ""إرزوروم""، وهكذا يتم نفيه إلىمالطا، ولكنه ينجح هو وآخرون ممن تم نفيهم في الهروب.",,,بيولنت سينوكاك,بيولنت-سينوكاك,أدب قصصي / عام, غلاف ورقي,
العواصف,None,,,جبران خليل جبران,جبران-خليل-جبران,أدب قصصي / عام, غلاف ورقي,
بحر سارة,None,,,موضي الطويل,موضي-الطويل,أدب قصصي / عام, غلاف ورقي,
البيت الأخير,غادر مارون بغدادي فرنسا، متوجهاً إلى بيروت، مساء السادس من تشرين الثاني عام 1993. كانت الطائرة شبه خالية. والبرق يشق السماء خلف النافذة المربّعة.  استرخى مارون في المقعد 43، فكّ الزرّ العلوي لقميصه، فتح حقيبته السامسونيت، أخرج منها ظرفاً ورقياً كبيراً، ثم عرضاسترخى مارون في المقعد 43، فكّ الزرّ العلوي لقميصه، فتح حقيبته السامسونيت، أخرج منها ظرفاً ورقياً كبيراً، ثم,,,ربيع جابر,ربيع-جابر,أدب قصصي / عام, غلاف ورقي,
عزلة الأحبة,"يقدم الروائي ""باولو جيوردانو"" رواية مدهشة، ومشوقة في آن معاً هي حكاية لا تشبه بقية الحكايات، إنها حكاية خاصة، أبطالها ما زالوا في طور البلوغ أليس  وماتيا، تجمعهم مأساة واحدة وهي ""التوأم المفقود"" فما قصتهما؟ تخبرنا هذه الرواية التي عنونها الكاتب بـ ""عُزلة ا عرضوماتيا، تجمعهم مأساة واحدة وهي ""التوأم المفقود"" فما قصتهما؟ تخبرنا هذه الرواية التي عنونها الكاتب بـ ""عُزلة ا",,,باولو جيوردانو,باولو-جيوردانو,أدب قصصي / عام, غلاف ورقي,
