title_ar,description_ar,pages,published_year,author_name_ar,author_slug,genre,cover,isbn
بسط الأعذار عن حب العذار,كتاب في الادب وصفه المؤلف بعد أن أطلع على كتاب خلع العذار للصفدي ووجده ناقصاً الكثير من الأمور المتعلقة بالموضوع فألف هذا الكتاب مضمناً إياه مجموع اً شعرياً ضخماً تتبع فيه ما قيل في وصف العذاار فتناول من هام بالمليح قبل بلوعه وفيمن يهيمون بالمعذرين حال ظهو عرضاً شعرياً ضخماً تتبع فيه ما قيل في وصف العذاار فتناول من هام بالمليح قبل بلوعه وفيمن يهيمون بالمعذرين حال ظهو,,,بدر الدين المنهاجي,بدر-الدين-المنهاجي,أدب قصصي / عام, غلاف كرتوني,
أحلى عشرين قصيدة حب في الحب الالهي,None,,,فاروق شوشة,فاروق-شوشة,أدب قصصي / عام, غلاف عادي,
رجال الله,None,,,نجيب الكيلاني,نجيب-الكيلاني,أدب قصصي / عام, غلاف عادي,
قصة كاملة... لم يؤلفها بشر,قصة حقيقية شهد نهايتها العلامة الدمشقي علي الطنطاوي ، فقام بسردها بعد تحري أحداثها و شخصياتها . قصة قصيرة لكن تحمل في طياتها رسالة عميقة تعجز المج لدات أحيانا بأن تحمل مثلها . عرضلدات أحيانا بأن تحمل مثلها .,,,علي الطنطاوي,علي-الطنطاوي,أدب قصصي / عام, غلاف ورقي,
أسير المتمهدي,"روايات تاريخ الإسلام"" سلسلة من الروايات التاريخية تصور مراحل التاريخ الإسلامي منذ ظهور الإسلام روعي فيها عنصر التشويق مع التزام الحوادث التاريخ ية التزاماً دقيقاً من حيث الزمان والمكان والأشخاص مع وصف ما يتخللها من عادات وأخلاق وهذا الكتاب ""أسير المتمهدي"" يدخل ضمن كتب هذه السلسلة وهو يشتمل على وصف ""مصر"" و""السودان"" في الربع الأخير من القرن الماضي، ودسائس الدول الأجنبية التي أدت إلى الثورة العرابية في ""مصر"" والثورة المهدية في ""السودان""، والاحتلال البريطاني لوادي النيل. عرضية التزاماً دقيقاً من حيث الزمان والمكان والأشخاص مع وصف ما يتخللها من عادات وأخلاق وهذا الكتاب ""أسير المتمهدي"" يدخل ضمن كتب هذه السلسلة وهو يشتمل على وصف ""مصر"" و""السودان"" في الربع الأخير من القرن الماضي، ودسائس الدول الأجنبية التي أدت إلى الثورة العرابية في ""مصر"" والثورة المهدية في ""السودان""، والاحتلال البريطاني لوادي النيل.",,,جرجي زيدان,جرجي-زيدان,أدب قصصي / عام, غلاف عادي,
كتاب أصول الإيمان,None,,,أحمد الطويان,أحمد-الطويان,أدب قصصي / عام, غلاف ورقي,
رياض المدح والرثاء,None,,,حسين علي آل الشيخ سليمان البلادي البحراني,حسين-علي-آل-الشيخ-سليمان-البلادي-البحراني,أدب قصصي / عام, غلاف كرتوني,
سماحة الإسلام,None,,,عبدالله  اللحيدان,عبدالله-اللحيدان,أدب قصصي / عام, غلاف كرتوني,
ما قرأت في الصحن الحيدري لشعراء المنبر الحسيني,مجموعة من القصائد لعدد من الشعراء الحسينين من مختلف المخافظات العراقية وعلى مختلف الاوزان الشعرية الشعبية منها والفصحى قرأها المؤلف في مناسبات مخت لفة في مدينة النجف الأشرف . عرضلفة في مدينة النجف الأشرف .,,,محمد العوادي,محمد-العوادي,أدب قصصي / عام, غلاف كرتوني,
فن الذكر والدعاء عند خاتم الأنبياء,تتوه النفس فى إنبهار عندما تطمئن بين يدى النبى الخاتم محمد بن عبد الله وهو يدعو ويدع,,,محمد الغزالي,محمد-الغزالي,أدب قصصي / عام, غلاف ورقي,
